,,1st stage variables,,,2nd stage variables (single scenario),,,Total,,,,,,,File size,,
Problem,Instance,#cont1,#bin1,#int1,#cont2,#bin2,#int2,#cont,#bin,#int,#rows,#cols,#nonzeros,%density,.cor,.tim,.sto
DCAP,DCAP_2_3_3_500,6,6,0,9,18,0,4506,9006,0,7506,13512,28512,0.0281,,,
,DCAP_2_3_3_1000,6,6,0,9,18,0,9006,18006,0,15006,27012,57012,0.0141,,,
,DCAP_2_3_3_5000,6,6,0,9,18,0,45006,90006,0,75006,135012,285012,0.0028,,,
,DCAP_2_3_3_10000,6,6,0,9,18,0,90006,180006,0,150006,270012,570012,0.0014,,,
,DCAP_2_4_3_500,6,6,0,12,24,0,6006,12006,0,9006,18012,36012,0.0222,,,
,DCAP_2_4_3_1000,6,6,0,12,24,0,12006,24006,0,18006,36012,72012,0.0111,,,
,DCAP_2_4_3_5000,6,6,0,12,24,0,60006,120006,0,90006,180012,360012,0.0022,,,
,DCAP_2_4_3_10000,6,6,0,12,24,0,120006,240006,0,180006,360012,720012,0.0011,,,
,DCAP_3_3_2_500,6,6,0,6,18,0,3006,9006,0,6006,12012,25512,0.0354,,,
,DCAP_3_3_2_1000,6,6,0,6,18,0,6006,18006,0,12006,24012,51012,0.0177,,,
,DCAP_3_3_2_5000,6,6,0,6,18,0,30006,90006,0,60006,120012,255012,0.0035,,,
,DCAP_3_3_2_10000,6,6,0,6,18,0,60006,180006,0,120006,240012,510012,0.0018,,,
,DCAP_3_4_2_500,6,6,0,8,24,0,4006,12006,0,7006,16012,32512,0.029,,,
,DCAP_3_4_2_1000,6,6,0,8,24,0,8006,24006,0,14006,32012,65012,0.0145,,,
,DCAP_3_4_2_5000,6,6,0,8,24,0,40006,120006,0,70006,160012,325012,0.0029,,,
,DCAP_3_4_2_10000,6,6,0,8,24,0,80006,240006,0,140006,320012,650012,0.0015,,,
MPTSPs,MPTSPs_D0_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D0_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D0_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
,MPTSPs_D1_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D1_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D1_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
,MPTSPs_D2_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D2_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D2_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
,MPTSPs_D3_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D3_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D3_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
,MPTSPs_D0_100_100,9900,9900,0,0,29700,0,9900,2979900,0,1000100,2989800,4019004,0.0001,,,
,MPTSPs_D0_100_500,9900,9900,0,0,29700,0,9900,14859900,0,4960100,14869800,19859004,0,,,
,MPTSPs_D0_100_1000,9900,9900,0,0,29700,0,9900,29709900,0,9910100,29719800,39659004,0,,,
,MPTSPs_D1_100_100,9900,9900,0,0,29700,0,9900,2979900,0,1000100,2989800,4019004,0.0001,,,
,MPTSPs_D1_100_500,9900,9900,0,0,29700,0,9900,14859900,0,4960100,14869800,19859004,0,,,
,MPTSPs_D1_100_1000,9900,9900,0,0,29700,0,9900,29709900,0,9910100,29719800,39659004,0,,,
,MPTSPs_D2_100_100,9900,9900,0,0,29700,0,9900,2979900,0,1000100,2989800,4019004,0.0001,,,
,MPTSPs_D2_100_500,9900,9900,0,0,29700,0,9900,14859900,0,4960100,14869800,19859004,0,,,
,MPTSPs_D2_100_1000,9900,9900,0,0,29700,0,9900,29709900,0,9910100,29719800,39659004,0,,,
,MPTSPs_D3_100_100,9900,9900,0,0,29700,0,9900,2979900,0,1000100,2989800,4019004,0.0001,,,
,MPTSPs_D3_100_500,9900,9900,0,0,29700,0,9900,14859900,0,4960100,14869800,19859004,0,,,
,MPTSPs_D3_100_1000,9900,9900,0,0,29700,0,9900,29709900,0,9910100,29719800,39659004,0,,,
SIZES,SIZES_100,0,20,20,0,0,110,0,20,11020,4022,11040,36060,0.0812,,,
,SIZES_500,0,20,20,0,0,110,0,20,55020,20022,55040,180060,0.0163,,,
,SIZES_1000,0,20,20,0,0,110,0,20,110020,40022,110040,360060,0.0082,,,
,SIZES_2000,0,20,20,0,0,110,0,20,220020,80022,220040,720060,0.0041,,,
,SIZES_4000,0,20,20,0,0,110,0,20,440020,160022,440040,1440060,0.002,,,
SMKP,SMKP_120_20,0,240,0,0,120,0,0,2640,0,150,2640,36000,9.0909,,,
,SMKP_120_100,0,240,0,0,120,0,0,12240,0,550,12240,132000,1.9608,,,
,SMKP_120_200,0,240,0,0,120,0,0,24240,0,1050,24240,252000,0.9901,,,
,SMKP_120_400,0,240,0,0,120,0,0,48240,0,2050,48240,492000,0.4975,,,
,SMKP_120_800,0,240,0,0,120,0,0,96240,0,4050,96240,972000,0.2494,,,
SSLP,SSLP_5_25_100,0,5,0,5,125,0,500,12505,0,3001,13005,25305,0.0648,,,
,SSLP_5_25_500,0,5,0,5,125,0,2500,62505,0,15001,65005,126505,0.013,,,
,SSLP_5_25_1000,0,5,0,5,125,0,5000,125005,0,30001,130005,253005,0.0065,,,
,SSLP_5_25_2000,0,5,0,5,125,0,10000,250005,0,60001,260005,506005,0.0032,,,
,SSLP_5_25_4000,0,5,0,5,125,0,20000,500005,0,120001,520005,1012005,0.0016,,,
,SSLP_5_25_8000,0,5,0,5,125,0,40000,1000005,0,240001,1040005,2024005,0.0008,,,
,SSLP_5_50_100,0,5,0,5,250,0,500,25005,0,5501,25505,50005,0.0356,,,
,SSLP_5_50_500,0,5,0,5,250,0,2500,125005,0,27501,127505,250005,0.0071,,,
,SSLP_5_50_1000,0,5,0,5,250,0,5000,250005,0,55001,255005,500005,0.0036,,,
,SSLP_5_50_2000,0,5,0,5,250,0,10000,500005,0,110001,510005,1000005,0.0018,,,
,SSLP_5_50_4000,0,5,0,5,250,0,20000,1000005,0,220001,1020005,2000005,0.0009,,,
,SSLP_5_50_8000,0,5,0,5,250,0,40000,2000005,0,440001,2040005,4000005,0.0004,,,
,SSLP_10_50_100,0,10,0,10,500,0,1000,50010,0,6001,51010,100110,0.0327,,,
,SSLP_10_50_500,0,10,0,10,500,0,5000,250010,0,30001,255010,500510,0.0065,,,
,SSLP_10_50_1000,0,10,0,10,500,0,10000,500010,0,60001,510010,1001010,0.0033,,,
,SSLP_10_50_2000,0,10,0,10,500,0,20000,1000010,0,120001,1020010,2002010,0.0016,,,
,SSLP_10_50_4000,0,10,0,10,500,0,40000,2000010,0,240001,2040010,4004010,0.0008,,,
,SSLP_10_50_8000,0,10,0,10,500,0,80000,4000010,0,480001,4080010,8008010,0.0004,,,
,SSLP_15_45_100,0,15,0,15,675,0,1500,67515,0,6001,69015,135915,0.0328,,,
,SSLP_15_45_500,0,15,0,15,675,0,7500,337515,0,30001,345015,679515,0.0066,,,
,SSLP_15_45_1000,0,15,0,15,675,0,15000,675015,0,60001,690015,1359015,0.0033,,,
,SSLP_15_45_2000,0,15,0,15,675,0,30000,1350015,0,120001,1380015,2718015,0.0016,,,
,SSLP_15_45_4000,0,15,0,15,675,0,60000,2700015,0,240001,2760015,5436015,0.0008,,,
,SSLP_15_45_8000,0,15,0,15,675,0,120000,5400015,0,480001,5520015,10872015,0.0004,,,
SUCW,SUCW_FallWD_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_FallWD_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_FallWD_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_FallWE_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_FallWE_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_FallWE_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_SpringWD_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_SpringWD_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_SpringWD_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_SpringWE_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_SpringWE_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_SpringWE_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_SummerWD_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_SummerWD_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_SummerWD_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_SummerWE_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_SummerWE_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_SummerWE_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_WinterWD_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_WinterWD_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_WinterWD_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
,SUCW_WinterWE_10,960,1000,0,21274,2250,0,213700,23500,0,330408,237200,1030146,0.0013,,,
,SUCW_WinterWE_50,960,1000,0,21274,2250,0,1064660,113500,0,1643208,1178160,5091706,0.0003,,,
,SUCW_WinterWE_100,960,1000,0,21274,2250,0,2128360,226000,0,3284208,2354360,10168656,0.0001,,,
